"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SRSF10",0.0234055156328031,-0.222697493359918,0.331,0.561,1
"CWF19L2",0.0234470466540071,1.61006350656239,0.301,0.182,1
"SLC39A3",0.0234866137924581,-0.829892757434246,0.03,0.106,1
"CD300LB",0.023549973727932,-1.87347595494182,0.024,0.091,1
"SLC30A1",0.023549973727932,-2.10976578734385,0.024,0.091,1
"CUX1",0.0236268633230307,-0.613029451418535,0.349,0.545,1
"RSF1",0.0236391815824242,1.09314311406492,0.506,0.47,1
"FAM210B",0.0236467450232458,-0.633205839143397,0.096,0.212,1
"ENSG00000270055",0.0237297531636033,-0.420822239269299,0.114,0.242,1
"PUS7L",0.0237897918612689,-0.103308877701705,0.078,0.197,1
"UFSP2",0.0238691104206841,-0.515436539593226,0.054,0.152,1
"FAM91A1",0.0238770406198393,-0.660444045115665,0.096,0.212,1
"GPATCH1",0.023930979276391,-0.33252501926946,0.072,0.182,1
"IDUA",0.0239312572640422,-1.90197548465825,0.024,0.091,1
"PLCB3",0.0239312572640422,-2.24295849068153,0.024,0.091,1
"UGP2",0.0239359397633201,-0.291088883976423,0.133,0.273,1
"ARMH3",0.0239713605445261,0.34834534915472,0.108,0.242,1
"CUTC",0.0239826559813647,0.33126277734056,0.139,0.288,1
"AP5M1",0.0240004834796212,-0.361471631596146,0.12,0.258,1
"NFAT5",0.0240103980055196,-0.6128661475009,0.205,0.364,1
"PFDN6",0.0240416369125485,-0.662260678363394,0.066,0.167,1
"POP4",0.0240416369125485,-0.875717948681304,0.066,0.167,1
"ISG20",0.0241567460465467,1.85790664652628,0.307,0.197,1
