"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ZMYND19",0.779004939969356,-0.212896634359185,0.065,0.07,1
"IFI35",0.779246220980213,0.326728759472408,0.153,0.151,1
"AFF4",0.779297930739027,0.113364544425416,0.544,0.575,1
"ACAT2",0.779398183282405,0.327918494570221,0.065,0.06,1
"GZMA",0.779654054477212,2.6906991557365,0.024,0.021,1
"SPR",0.779791112862008,0.234896970980744,0.294,0.305,1
"RNH1",0.78017683808855,0.110113793358872,0.504,0.568,1
"RANBP9",0.780594370513333,0.177404327734265,0.492,0.488,1
"DENND11",0.780618745439533,0.180339539715764,0.198,0.196,1
"NELFE",0.780831269368584,0.117521005510978,0.597,0.691,1
"CLTB",0.781036313100619,0.409842860774853,0.21,0.218,1
"BCR",0.781120921413458,0.561872513756685,0.198,0.214,1
"COMETT",0.781146622970159,-0.247087504702008,0.024,0.028,1
"PLEKHH3",0.781146622970159,-0.162829156251655,0.024,0.028,1
"NEMP2-DT",0.781146622970159,0.303580634982945,0.028,0.025,1
"ROS1",0.781146622970159,0.749376177896403,0.028,0.025,1
"TSACC",0.781146622970159,0.341591224933038,0.028,0.025,1
"TMEM164",0.781280498527644,0.485467235723934,0.206,0.204,1
"CLNK",0.781338152777576,1.19439586855628,0.024,0.021,1
"ATP8B1",0.781478129766685,0.199090399109581,0.298,0.309,1
"RIT1",0.781519739589687,0.319641172487501,0.149,0.147,1
"RAB35",0.781859038031367,0.278194273845731,0.214,0.221,1
"PPP6R1",0.782161130978056,0.21485098115045,0.085,0.095,1
"ENSG00000272667",0.78249529196399,0.234775399074859,0.121,0.116,1
"ENSG00000258378",0.782709556423688,-0.222282625292303,0.024,0.028,1
"CD302",0.782709556423688,0.427904280181773,0.028,0.025,1
"ZNF385C",0.782709556423688,0.34901929350731,0.028,0.025,1
"TMEM168",0.783249834154611,0.229691274237191,0.194,0.196,1
"SLC35A4",0.783285113487897,0.303164120296064,0.206,0.2,1
"URGCP",0.78333853959684,0.183677293697648,0.214,0.211,1
"CFAP298-TCP10L",0.783347328065451,0.34551232421355,0.089,0.084,1
"NR2F1",0.783480750686976,0.149236065275829,0.097,0.091,1
"ENSG00000287042",0.783486604939321,-0.50747789070747,0.036,0.032,1
"METTL9",0.783650242085207,-0.115360934258216,0.609,0.632,1
"ZNRF1",0.783912887497172,0.230100678547984,0.371,0.4,1
"ATG9B",0.784259384268464,0.151612254587714,0.492,0.491,1
"LNP1",0.784273367441991,0.221711728527541,0.028,0.025,1
"ARID3A",0.784778502297578,0.347796530498905,0.093,0.088,1
"ENSG00000273145",0.784800190663018,0.175320862826001,0.04,0.046,1
"DRAIC",0.785024178594757,0.131789144080775,0.141,0.154,1
"TUBG1",0.785344316311652,0.135240551422192,0.117,0.112,1
"FOXJ2",0.785618931653159,0.128848256943611,0.065,0.06,1
"PSMC3IP",0.785654611392797,0.161982537952436,0.149,0.144,1
"S1PR1-DT",0.785838050035874,-0.441876369983135,0.024,0.028,1
"TMEM202-AS1",0.786031567234532,0.187371764025289,0.04,0.046,1
"PAPOLG",0.78630717088067,0.230905634413457,0.165,0.182,1
"CEPT1",0.786346631423328,0.207678232140801,0.544,0.589,1
"TRPV4",0.786526937677572,-0.142596467429689,0.097,0.105,1
"ENSG00000291171",0.786586046482446,0.470451435300679,0.105,0.102,1
"POLR3A",0.786812579612221,0.407633715029877,0.169,0.168,1
"C12orf56",0.787403598205582,-0.189283712114554,0.024,0.028,1
"TRPM3",0.787403598205582,0.319202543898617,0.028,0.025,1
"GTDC1",0.78784537454944,0.860847938738782,0.056,0.063,1
"CSMD1",0.788627133433956,0.552239075197387,0.153,0.168,1
"CREB5",0.789081035394027,0.27979779786673,0.185,0.182,1
"ZNF471",0.789741547008142,0.327696020918343,0.218,0.221,1
"GBA",0.789773885057198,0.539011719630888,0.024,0.021,1
"PLCG1",0.789773885057198,0.934828073631477,0.024,0.021,1
"TP53TG5",0.789773885057198,0.561087981977735,0.024,0.021,1
"ZNF451-AS1",0.789773885057198,0.661129633298342,0.024,0.021,1
"CNST",0.790140861395556,0.13068874003312,0.407,0.435,1
"TAF11",0.790345276839302,-0.103569401955467,0.282,0.291,1
"RGL3",0.790471651569406,0.397791019488328,0.266,0.27,1
"PRMT5-DT",0.790537267221052,-0.111705478193716,0.024,0.028,1
"NGB",0.790537267221052,0.191946510962173,0.028,0.025,1
"PRKAG1",0.790537267221052,0.298608789701575,0.028,0.025,1
"CDADC1",0.790710992795092,0.200404066319513,0.214,0.214,1
"HEATR5B",0.790780490740161,-0.124007292956528,0.343,0.337,1
"STX4",0.791343118581655,0.161980060061666,0.141,0.154,1
"ZNF442",0.791464027015503,0.660458034248425,0.024,0.021,1
"MAML1",0.791564964914272,-0.144796413252063,0.19,0.196,1
"ZNF761",0.791683470296973,-0.131870174938796,0.194,0.204,1
"APOBEC3F",0.79173604202697,0.505270776264831,0.085,0.081,1
"ENSG00000268945",0.791853399753949,0.437538914258374,0.065,0.06,1
"CAMSAP1-DT",0.79188198175618,0.371348842066393,0.077,0.084,1
"ENSG00000269958",0.79188198175618,-0.117618889306133,0.077,0.084,1
"ZNF563",0.792759891277578,1.1196263323546,0.06,0.056,1
"BET1L",0.792850142302773,0.200042290729881,0.246,0.277,1
"VPS52",0.792854651041111,0.247035606045679,0.274,0.284,1
"CORO7",0.793115620964653,0.386943910630337,0.069,0.077,1
"ARSD-AS1",0.79315514985774,0.670949370968146,0.024,0.021,1
"ENSG00000289890",0.79315514985774,0.317218091539324,0.024,0.021,1
"MMADHC-DT",0.79315514985774,0.682850031584715,0.024,0.021,1
"LRRC37A2",0.793477378528241,0.173554058979588,0.153,0.154,1
"ENSG00000258210",0.793592631957203,-0.108445515097393,0.044,0.049,1
"DYNLT2",0.793674326281745,0.236824073347088,0.024,0.028,1
"ENSG00000232295",0.793674326281745,0.323155898809901,0.024,0.028,1
"ZNF18",0.793674326281745,0.228554967401909,0.024,0.028,1
"IL4I1",0.793674326281745,0.809842594724334,0.028,0.025,1
"KDSR",0.793862632675374,0.10157309647406,0.569,0.614,1
"BCAS3",0.794053443712841,-0.300990381492956,0.593,0.642,1
"CCDC12",0.794320810396115,0.198211690365558,0.31,0.344,1
"ULBP3",0.794331916616942,0.316603067204522,0.109,0.105,1
"TMEM38B",0.794779576458394,-0.165383602856305,0.044,0.049,1
"DSCAS",0.794847246005987,0.510780814546562,0.024,0.021,1
"NEMP2",0.794847246005987,0.485601490071031,0.024,0.021,1
